date_time,so2 (ug/m^3)
7/1/2017 1:00,19.77
7/1/2017 4:00,20.82
7/1/2017 7:00,27.07
7/1/2017 10:00,5.95
7/1/2017 13:00,3.89
7/1/2017 16:00,5.3
7/1/2017 19:00,17.11
7/1/2017 22:00,16.81
7/2/2017 1:00,19.81
7/2/2017 4:00,25.94
7/2/2017 7:00,23.36
7/2/2017 10:00,4.64
7/2/2017 13:00,3.32
7/2/2017 16:00,4.37
7/2/2017 19:00,12.69
7/2/2017 22:00,14.97
7/3/2017 1:00,17.04
7/3/2017 4:00,18.93
7/3/2017 7:00,20.96
7/3/2017 10:00,3.99
7/3/2017 13:00,3.22
7/3/2017 16:00,4.55
7/3/2017 19:00,12.68
7/3/2017 22:00,18.5
7/4/2017 1:00,19.11
7/4/2017 4:00,21.31
7/4/2017 7:00,26.94
7/4/2017 10:00,6.4
7/4/2017 13:00,4.41
7/4/2017 16:00,4.48
7/4/2017 19:00,14.97
7/4/2017 22:00,22.88
7/5/2017 1:00,16.22
7/5/2017 4:00,21.49
7/5/2017 7:00,30.62
7/5/2017 10:00,5.87
7/5/2017 13:00,3.72
7/5/2017 16:00,3.69
7/5/2017 19:00,13.56
7/5/2017 22:00,15.45
7/6/2017 1:00,15.92
7/6/2017 4:00,20.96
7/6/2017 7:00,25.83
7/6/2017 10:00,4.65
7/6/2017 13:00,3.34
7/6/2017 16:00,5.09
7/6/2017 19:00,13.5
7/6/2017 22:00,18.11
7/7/2017 1:00,10.03
7/7/2017 4:00,18.17
7/7/2017 7:00,16.08
7/7/2017 10:00,4.26
7/7/2017 13:00,3.23
7/7/2017 16:00,3.71
7/7/2017 19:00,9.92
7/7/2017 22:00,13.84
7/8/2017 1:00,20.19
7/8/2017 4:00,23.24
7/8/2017 7:00,20.07
7/8/2017 10:00,4.87
7/8/2017 13:00,3.69
7/8/2017 16:00,3.65
7/8/2017 19:00,7.71
7/8/2017 22:00,14.39
7/9/2017 1:00,20.07
7/9/2017 4:00,24.51
7/9/2017 7:00,19.81
7/9/2017 10:00,4.05
7/9/2017 13:00,3.75
7/9/2017 16:00,4.06
7/9/2017 19:00,11.28
7/9/2017 22:00,10.94
7/10/2017 1:00,16.52
7/10/2017 4:00,20.64
7/10/2017 7:00,24.75
7/10/2017 10:00,6.76
7/10/2017 13:00,5.48
7/10/2017 16:00,5.5
7/10/2017 19:00,13.85
7/10/2017 22:00,25.46
7/11/2017 1:00,25.0
7/11/2017 4:00,25.04
7/11/2017 7:00,24.18
7/11/2017 10:00,4.97
7/11/2017 13:00,3.47
7/11/2017 16:00,4.75
7/11/2017 19:00,11.78
7/11/2017 22:00,16.24
7/12/2017 1:00,25.86
7/12/2017 4:00,23.8
7/12/2017 7:00,21.2
7/12/2017 10:00,6.01
7/12/2017 13:00,4.49
7/12/2017 16:00,4.93
7/12/2017 19:00,12.56
7/12/2017 22:00,23.49
7/13/2017 1:00,17.32
7/13/2017 4:00,20.01
7/13/2017 7:00,25.15
7/13/2017 10:00,4.66
7/13/2017 13:00,3.74
7/13/2017 16:00,6.09
7/13/2017 19:00,12.16
7/13/2017 22:00,12.89
7/14/2017 1:00,15.11
7/14/2017 4:00,18.53
7/14/2017 7:00,13.52
7/14/2017 10:00,4.04
7/14/2017 13:00,4.07
7/14/2017 16:00,4.36
7/14/2017 19:00,14.41
7/14/2017 22:00,10.96
7/15/2017 1:00,14.29
7/15/2017 4:00,14.85
7/15/2017 7:00,17.82
7/15/2017 10:00,4.17
7/15/2017 13:00,4.32
7/15/2017 16:00,5.86
7/15/2017 19:00,15.18
7/15/2017 22:00,12.23
7/16/2017 1:00,15.22
7/16/2017 4:00,20.66
7/16/2017 7:00,22.53
7/16/2017 10:00,4.37
7/16/2017 13:00,4.05
7/16/2017 16:00,7.5
7/16/2017 19:00,12.47
7/16/2017 22:00,16.14
7/17/2017 1:00,13.67
7/17/2017 4:00,12.37
7/17/2017 7:00,14.53
7/17/2017 10:00,6.87
7/17/2017 13:00,4.17
7/17/2017 16:00,4.31
7/17/2017 19:00,11.32
7/17/2017 22:00,12.65
7/18/2017 1:00,11.64
7/18/2017 4:00,11.58
7/18/2017 7:00,12.03
7/18/2017 10:00,3.82
7/18/2017 13:00,4.37
7/18/2017 16:00,5.97
7/18/2017 19:00,13.76
7/18/2017 22:00,13.6
7/19/2017 1:00,17.53
7/19/2017 4:00,21.73
7/19/2017 7:00,22.42
7/19/2017 10:00,6.83
7/19/2017 13:00,4.28
7/19/2017 16:00,5.55
7/19/2017 19:00,11.63
7/19/2017 22:00,14.88
7/20/2017 1:00,15.73
7/20/2017 4:00,21.61
7/20/2017 7:00,22.99
7/20/2017 10:00,7.61
7/20/2017 13:00,3.67
7/20/2017 16:00,5.27
7/20/2017 19:00,11.02
7/20/2017 22:00,12.93
7/21/2017 1:00,14.31
7/21/2017 4:00,15.04
7/21/2017 7:00,16.97
7/21/2017 10:00,5.66
7/21/2017 13:00,4.43
7/21/2017 16:00,4.7
7/21/2017 19:00,14.17
7/21/2017 22:00,19.4
7/22/2017 1:00,17.33
7/22/2017 4:00,15.97
7/22/2017 7:00,20.69
7/22/2017 10:00,5.5
7/22/2017 13:00,4.92
7/22/2017 16:00,6.35
7/22/2017 19:00,15.15
7/22/2017 22:00,21.89
7/23/2017 1:00,19.27
7/23/2017 4:00,19.52
7/23/2017 7:00,18.56
7/23/2017 10:00,4.81
7/23/2017 13:00,3.46
7/23/2017 16:00,4.95
7/23/2017 19:00,13.54
7/23/2017 22:00,13.86
7/24/2017 1:00,14.37
7/24/2017 4:00,16.53
7/24/2017 7:00,17.34
7/24/2017 10:00,5.01
7/24/2017 13:00,3.38
7/24/2017 16:00,4.29
7/24/2017 19:00,12.78
7/24/2017 22:00,13.21
7/25/2017 1:00,14.96
7/25/2017 4:00,16.15
7/25/2017 7:00,17.14
7/25/2017 10:00,6.51
7/25/2017 13:00,4.67
7/25/2017 16:00,7.76
7/25/2017 19:00,16.26
7/25/2017 22:00,17.39
7/26/2017 1:00,13.3
7/26/2017 4:00,14.01
7/26/2017 7:00,20.8
7/26/2017 10:00,4.82
7/26/2017 13:00,6.54
7/26/2017 16:00,7.25
7/26/2017 19:00,9.61
7/26/2017 22:00,13.28
7/27/2017 1:00,14.94
7/27/2017 4:00,16.73
7/27/2017 7:00,16.99
7/27/2017 10:00,3.98
7/27/2017 13:00,3.12
7/27/2017 16:00,3.77
7/27/2017 19:00,11.02
7/27/2017 22:00,9.9
7/28/2017 1:00,14.45
7/28/2017 4:00,13.87
7/28/2017 7:00,17.38
7/28/2017 10:00,4.54
7/28/2017 13:00,5.35
7/28/2017 16:00,4.38
7/28/2017 19:00,9.11
7/28/2017 22:00,14.19
7/29/2017 1:00,14.14
7/29/2017 4:00,18.41
7/29/2017 7:00,18.04
7/29/2017 10:00,4.2
7/29/2017 13:00,4.02
7/29/2017 16:00,4.98
7/29/2017 19:00,17.09
7/29/2017 22:00,14.97
7/30/2017 1:00,15.05
7/30/2017 4:00,20.37
7/30/2017 7:00,19.81
7/30/2017 10:00,3.83
7/30/2017 13:00,3.05
7/30/2017 16:00,4.37
7/30/2017 19:00,13.54
7/30/2017 22:00,12.71
7/31/2017 1:00,14.31
7/31/2017 4:00,15.89
7/31/2017 7:00,19.44
7/31/2017 10:00,4.51
7/31/2017 13:00,3.41
7/31/2017 16:00,4.27
7/31/2017 19:00,10.82
7/31/2017 22:00,12.29
8/1/2017 1:00,14.77
8/1/2017 4:00,17.26
8/1/2017 7:00,18.31
8/1/2017 10:00,4.58
8/1/2017 13:00,3.5
8/1/2017 16:00,3.75
8/1/2017 19:00,10.83
8/1/2017 22:00,14.65
8/2/2017 1:00,13.9
8/2/2017 4:00,17.56
8/2/2017 7:00,19.24
8/2/2017 10:00,4.31
8/2/2017 13:00,3.42
8/2/2017 16:00,4.47
8/2/2017 19:00,10.09
8/2/2017 22:00,17.37
8/3/2017 1:00,16.33
8/3/2017 4:00,17.15
8/3/2017 7:00,19.07
8/3/2017 10:00,3.98
8/3/2017 13:00,3.86
8/3/2017 16:00,6.69
8/3/2017 19:00,19.92
8/3/2017 22:00,32.77
8/4/2017 1:00,14.4
8/4/2017 4:00,15.25
