date_time,so2 (ug/m^3)
7/1/2017 1:00,2.46
7/1/2017 4:00,2.29
7/1/2017 7:00,2.29
7/1/2017 10:00,0.83
7/1/2017 13:00,0.44
7/1/2017 16:00,0.61
7/1/2017 19:00,1.08
7/1/2017 22:00,2.19
7/2/2017 1:00,2.58
7/2/2017 4:00,2.9
7/2/2017 7:00,2.54
7/2/2017 10:00,0.82
7/2/2017 13:00,0.6
7/2/2017 16:00,0.56
7/2/2017 19:00,1.29
7/2/2017 22:00,2.02
7/3/2017 1:00,2.3
7/3/2017 4:00,2.58
7/3/2017 7:00,2.36
7/3/2017 10:00,0.85
7/3/2017 13:00,0.79
7/3/2017 16:00,0.64
7/3/2017 19:00,1.43
7/3/2017 22:00,2.42
7/4/2017 1:00,2.47
7/4/2017 4:00,2.48
7/4/2017 7:00,2.84
7/4/2017 10:00,0.91
7/4/2017 13:00,0.46
7/4/2017 16:00,0.53
7/4/2017 19:00,1.41
7/4/2017 22:00,2.32
7/5/2017 1:00,2.36
7/5/2017 4:00,2.84
7/5/2017 7:00,2.61
7/5/2017 10:00,0.79
7/5/2017 13:00,0.49
7/5/2017 16:00,0.5
7/5/2017 19:00,1.49
7/5/2017 22:00,2.4
7/6/2017 1:00,2.64
7/6/2017 4:00,3.03
7/6/2017 7:00,2.59
7/6/2017 10:00,0.67
7/6/2017 13:00,0.45
7/6/2017 16:00,0.5
7/6/2017 19:00,1.19
7/6/2017 22:00,2.6
7/7/2017 1:00,2.74
7/7/2017 4:00,2.84
7/7/2017 7:00,2.28
7/7/2017 10:00,0.71
7/7/2017 13:00,0.46
7/7/2017 16:00,0.52
7/7/2017 19:00,1.18
7/7/2017 22:00,2.47
7/8/2017 1:00,3.01
7/8/2017 4:00,2.97
7/8/2017 7:00,2.2
7/8/2017 10:00,0.5
7/8/2017 13:00,0.35
7/8/2017 16:00,0.54
7/8/2017 19:00,1.25
7/8/2017 22:00,2.85
7/9/2017 1:00,3.96
7/9/2017 4:00,3.9
7/9/2017 7:00,3.09
7/9/2017 10:00,0.69
7/9/2017 13:00,0.49
7/9/2017 16:00,0.62
7/9/2017 19:00,1.27
7/9/2017 22:00,2.81
7/10/2017 1:00,2.78
7/10/2017 4:00,2.86
7/10/2017 7:00,2.52
7/10/2017 10:00,0.78
7/10/2017 13:00,0.58
7/10/2017 16:00,0.69
7/10/2017 19:00,1.48
7/10/2017 22:00,2.84
7/11/2017 1:00,3.47
7/11/2017 4:00,2.89
7/11/2017 7:00,2.24
7/11/2017 10:00,1.04
7/11/2017 13:00,0.64
7/11/2017 16:00,0.59
7/11/2017 19:00,1.48
7/11/2017 22:00,2.36
7/12/2017 1:00,2.58
7/12/2017 4:00,2.62
7/12/2017 7:00,2.61
7/12/2017 10:00,0.87
7/12/2017 13:00,0.55
7/12/2017 16:00,0.58
7/12/2017 19:00,1.38
7/12/2017 22:00,2.63
7/13/2017 1:00,3.46
7/13/2017 4:00,3.05
7/13/2017 7:00,2.75
7/13/2017 10:00,0.73
7/13/2017 13:00,0.56
7/13/2017 16:00,0.64
7/13/2017 19:00,1.23
7/13/2017 22:00,2.82
7/14/2017 1:00,2.93
7/14/2017 4:00,2.9
7/14/2017 7:00,2.19
7/14/2017 10:00,0.74
7/14/2017 13:00,0.49
7/14/2017 16:00,0.49
7/14/2017 19:00,1.2
7/14/2017 22:00,2.6
7/15/2017 1:00,3.25
7/15/2017 4:00,2.62
7/15/2017 7:00,1.98
7/15/2017 10:00,0.66
7/15/2017 13:00,0.41
7/15/2017 16:00,0.59
7/15/2017 19:00,1.13
7/15/2017 22:00,2.38
7/16/2017 1:00,3.1
7/16/2017 4:00,3.48
7/16/2017 7:00,3.51
7/16/2017 10:00,0.83
7/16/2017 13:00,0.7
7/16/2017 16:00,0.76
7/16/2017 19:00,1.42
7/16/2017 22:00,2.66
7/17/2017 1:00,2.86
7/17/2017 4:00,3.31
7/17/2017 7:00,3.03
7/17/2017 10:00,0.82
7/17/2017 13:00,0.75
7/17/2017 16:00,0.95
7/17/2017 19:00,1.77
7/17/2017 22:00,2.75
7/18/2017 1:00,2.0
7/18/2017 4:00,1.75
7/18/2017 7:00,2.05
7/18/2017 10:00,0.89
7/18/2017 13:00,0.56
7/18/2017 16:00,0.57
7/18/2017 19:00,1.38
7/18/2017 22:00,2.35
7/19/2017 1:00,2.53
7/19/2017 4:00,2.64
7/19/2017 7:00,2.47
7/19/2017 10:00,1.02
7/19/2017 13:00,0.67
7/19/2017 16:00,0.8
7/19/2017 19:00,1.42
7/19/2017 22:00,2.75
7/20/2017 1:00,2.85
7/20/2017 4:00,3.04
7/20/2017 7:00,2.92
7/20/2017 10:00,0.71
7/20/2017 13:00,0.5
7/20/2017 16:00,0.61
7/20/2017 19:00,1.27
7/20/2017 22:00,2.61
7/21/2017 1:00,2.96
7/21/2017 4:00,3.67
7/21/2017 7:00,5.0
7/21/2017 10:00,0.88
7/21/2017 13:00,0.73
7/21/2017 16:00,0.67
7/21/2017 19:00,1.5
7/21/2017 22:00,2.3
7/22/2017 1:00,3.06
7/22/2017 4:00,3.31
7/22/2017 7:00,3.32
7/22/2017 10:00,1.04
7/22/2017 13:00,0.84
7/22/2017 16:00,0.87
7/22/2017 19:00,1.6
7/22/2017 22:00,1.88
7/23/2017 1:00,2.34
7/23/2017 4:00,2.81
7/23/2017 7:00,2.72
7/23/2017 10:00,0.92
7/23/2017 13:00,0.54
7/23/2017 16:00,0.65
7/23/2017 19:00,1.23
7/23/2017 22:00,3.1
7/24/2017 1:00,4.13
7/24/2017 4:00,3.75
7/24/2017 7:00,3.28
7/24/2017 10:00,0.88
7/24/2017 13:00,0.46
