date_time,so2 (ug/m^3)
7/1/2017 1:00,3.85
7/1/2017 4:00,4.93
7/1/2017 7:00,5.91
7/1/2017 10:00,1.36
7/1/2017 13:00,0.68
7/1/2017 16:00,0.69
7/1/2017 19:00,1.7
7/1/2017 22:00,3.85
7/2/2017 1:00,2.9
7/2/2017 4:00,3.22
7/2/2017 7:00,3.24
7/2/2017 10:00,0.89
7/2/2017 13:00,0.58
7/2/2017 16:00,0.68
7/2/2017 19:00,1.78
7/2/2017 22:00,2.38
7/3/2017 1:00,5.5
7/3/2017 4:00,5.06
7/3/2017 7:00,3.72
7/3/2017 10:00,0.97
7/3/2017 13:00,0.54
7/3/2017 16:00,0.6
7/3/2017 19:00,1.55
7/3/2017 22:00,2.23
7/4/2017 1:00,3.3
7/4/2017 4:00,4.42
7/4/2017 7:00,5.01
7/4/2017 10:00,1.89
7/4/2017 13:00,0.83
7/4/2017 16:00,0.71
7/4/2017 19:00,1.87
7/4/2017 22:00,2.51
7/5/2017 1:00,3.05
7/5/2017 4:00,4.3
7/5/2017 7:00,3.68
7/5/2017 10:00,0.73
7/5/2017 13:00,0.57
7/5/2017 16:00,0.64
7/5/2017 19:00,1.67
7/5/2017 22:00,2.37
7/6/2017 1:00,2.09
7/6/2017 4:00,2.68
7/6/2017 7:00,2.5
7/6/2017 10:00,0.7
7/6/2017 13:00,0.54
7/6/2017 16:00,0.75
7/6/2017 19:00,1.46
7/6/2017 22:00,3.07
7/7/2017 1:00,2.8
7/7/2017 4:00,2.67
7/7/2017 7:00,2.8
7/7/2017 10:00,0.65
7/7/2017 13:00,0.47
7/7/2017 16:00,0.6
7/7/2017 19:00,1.73
7/7/2017 22:00,3.73
7/8/2017 1:00,2.86
7/8/2017 4:00,3.26
7/8/2017 7:00,2.41
7/8/2017 10:00,1.15
7/8/2017 13:00,0.67
7/8/2017 16:00,0.66
7/8/2017 19:00,1.66
7/8/2017 22:00,3.45
7/9/2017 1:00,3.7
7/9/2017 4:00,4.6
7/9/2017 7:00,4.82
7/9/2017 10:00,0.92
7/9/2017 13:00,0.62
7/9/2017 16:00,0.7
7/9/2017 19:00,2.0
7/9/2017 22:00,2.9
7/10/2017 1:00,4.29
7/10/2017 4:00,5.46
7/10/2017 7:00,2.36
7/10/2017 10:00,0.48
7/10/2017 13:00,0.55
7/10/2017 16:00,0.84
7/10/2017 19:00,1.76
7/10/2017 22:00,3.68
7/11/2017 1:00,5.53
7/11/2017 4:00,6.73
7/11/2017 7:00,6.42
7/11/2017 10:00,1.14
7/11/2017 13:00,0.71
7/11/2017 16:00,0.84
7/11/2017 19:00,2.03
7/11/2017 22:00,4.0
7/12/2017 1:00,5.34
7/12/2017 4:00,5.7
7/12/2017 7:00,5.29
7/12/2017 10:00,1.16
