date_time,so2 (ug/m^3)
7/1/2017 1:00,0.58
7/1/2017 4:00,0.62
7/1/2017 7:00,0.77
7/1/2017 10:00,0.41
7/1/2017 13:00,0.34
7/1/2017 16:00,0.39
7/1/2017 19:00,0.64
7/1/2017 22:00,0.79
7/2/2017 1:00,0.57
7/2/2017 4:00,0.6
7/2/2017 7:00,0.61
7/2/2017 10:00,0.37
7/2/2017 13:00,0.37
7/2/2017 16:00,0.41
7/2/2017 19:00,0.75
7/2/2017 22:00,0.76
7/3/2017 1:00,0.98
7/3/2017 4:00,1.42
7/3/2017 7:00,0.88
7/3/2017 10:00,0.36
7/3/2017 13:00,0.31
7/3/2017 16:00,0.4
7/3/2017 19:00,0.58
7/3/2017 22:00,0.71
7/4/2017 1:00,0.83
7/4/2017 4:00,1.58
7/4/2017 7:00,1.4
7/4/2017 10:00,0.49
7/4/2017 13:00,0.33
7/4/2017 16:00,0.35
7/4/2017 19:00,0.61
7/4/2017 22:00,0.96
7/5/2017 1:00,1.26
7/5/2017 4:00,1.22
7/5/2017 7:00,1.04
7/5/2017 10:00,0.31
7/5/2017 13:00,0.24
7/5/2017 16:00,0.33
7/5/2017 19:00,0.76
7/5/2017 22:00,0.71
7/6/2017 1:00,0.8
7/6/2017 4:00,1.12
7/6/2017 7:00,0.85
7/6/2017 10:00,0.35
7/6/2017 13:00,0.29
7/6/2017 16:00,0.37
7/6/2017 19:00,0.54
7/6/2017 22:00,0.6
7/7/2017 1:00,0.67
7/7/2017 4:00,0.46
7/7/2017 7:00,0.58
7/7/2017 10:00,0.37
7/7/2017 13:00,0.31
7/7/2017 16:00,0.29
7/7/2017 19:00,0.45
7/7/2017 22:00,0.5
7/8/2017 1:00,0.44
7/8/2017 4:00,0.45
7/8/2017 7:00,0.5
7/8/2017 10:00,0.33
7/8/2017 13:00,0.26
7/8/2017 16:00,0.29
7/8/2017 19:00,0.5
7/8/2017 22:00,0.66
7/9/2017 1:00,0.67
7/9/2017 4:00,0.57
7/9/2017 7:00,0.51
7/9/2017 10:00,0.32
7/9/2017 13:00,0.33
7/9/2017 16:00,0.37
7/9/2017 19:00,0.62
7/9/2017 22:00,0.72
7/10/2017 1:00,0.62
7/10/2017 4:00,0.6
7/10/2017 7:00,0.78
7/10/2017 10:00,0.4
7/10/2017 13:00,0.31
7/10/2017 16:00,0.38
7/10/2017 19:00,0.63
7/10/2017 22:00,0.88
7/11/2017 1:00,0.96
7/11/2017 4:00,1.41
7/11/2017 7:00,1.9
7/11/2017 10:00,0.62
7/11/2017 13:00,0.36
7/11/2017 16:00,0.4
7/11/2017 19:00,0.59
7/11/2017 22:00,0.55
7/12/2017 1:00,0.6
7/12/2017 4:00,0.59
7/12/2017 7:00,0.73
7/12/2017 10:00,0.45
7/12/2017 13:00,0.3
7/12/2017 16:00,0.45
7/12/2017 19:00,0.48
7/12/2017 22:00,0.51
7/13/2017 1:00,0.62
7/13/2017 4:00,0.66
7/13/2017 7:00,0.61
7/13/2017 10:00,0.26
7/13/2017 13:00,0.24
7/13/2017 16:00,0.27
7/13/2017 19:00,0.38
7/13/2017 22:00,0.38
7/14/2017 1:00,0.39
7/14/2017 4:00,0.4
7/14/2017 7:00,0.39
7/14/2017 10:00,0.26
7/14/2017 13:00,0.24
7/14/2017 16:00,0.3
7/14/2017 19:00,0.45
7/14/2017 22:00,0.46
7/15/2017 1:00,0.45
7/15/2017 4:00,0.46
7/15/2017 7:00,0.48
7/15/2017 10:00,0.25
7/15/2017 13:00,0.25
7/15/2017 16:00,0.33
7/15/2017 19:00,0.49
7/15/2017 22:00,0.56
7/16/2017 1:00,0.7
7/16/2017 4:00,0.55
7/16/2017 7:00,0.45
7/16/2017 10:00,0.25
7/16/2017 13:00,0.23
7/16/2017 16:00,0.27
7/16/2017 19:00,0.25
7/16/2017 22:00,0.35
7/17/2017 1:00,0.28
7/17/2017 4:00,0.33
7/17/2017 7:00,0.43
7/17/2017 10:00,0.26
7/17/2017 13:00,0.28
7/17/2017 16:00,0.28
7/17/2017 19:00,0.36
7/17/2017 22:00,0.42
7/18/2017 1:00,0.42
7/18/2017 4:00,0.47
7/18/2017 7:00,0.4
7/18/2017 10:00,0.27
7/18/2017 13:00,0.28
7/18/2017 16:00,0.34
7/18/2017 19:00,0.48
7/18/2017 22:00,0.56
7/19/2017 1:00,0.87
7/19/2017 4:00,0.85
7/19/2017 7:00,0.57
7/19/2017 10:00,0.35
7/19/2017 13:00,0.27
7/19/2017 16:00,0.35
7/19/2017 19:00,0.53
7/19/2017 22:00,0.47
7/20/2017 1:00,0.44
7/20/2017 4:00,0.57
7/20/2017 7:00,0.56
7/20/2017 10:00,0.38
7/20/2017 13:00,0.36
7/20/2017 16:00,0.35
7/20/2017 19:00,0.49
7/20/2017 22:00,0.49
7/21/2017 1:00,0.43
7/21/2017 4:00,0.54
7/21/2017 7:00,0.6
7/21/2017 10:00,0.33
7/21/2017 13:00,0.3
7/21/2017 16:00,0.33
7/21/2017 19:00,0.58
7/21/2017 22:00,0.58
7/22/2017 1:00,0.89
7/22/2017 4:00,1.1
7/22/2017 7:00,0.94
7/22/2017 10:00,0.45
7/22/2017 13:00,0.39
7/22/2017 16:00,0.39
7/22/2017 19:00,0.63
7/22/2017 22:00,0.86
7/23/2017 1:00,1.04
7/23/2017 4:00,1.27
7/23/2017 7:00,0.97
7/23/2017 10:00,0.41
7/23/2017 13:00,0.36
7/23/2017 16:00,0.41
7/23/2017 19:00,0.57
7/23/2017 22:00,0.5
7/24/2017 1:00,0.95
7/24/2017 4:00,0.96
7/24/2017 7:00,0.88
7/24/2017 10:00,0.35
7/24/2017 13:00,0.33
7/24/2017 16:00,0.33
7/24/2017 19:00,0.48
7/24/2017 22:00,0.74
7/25/2017 1:00,0.72
7/25/2017 4:00,0.58
7/25/2017 7:00,0.57
7/25/2017 10:00,0.34
7/25/2017 13:00,0.28
7/25/2017 16:00,0.39
7/25/2017 19:00,0.46
7/25/2017 22:00,0.43
7/26/2017 1:00,0.62
7/26/2017 4:00,0.55
7/26/2017 7:00,0.57
7/26/2017 10:00,0.47
7/26/2017 13:00,0.47
7/26/2017 16:00,0.43
7/26/2017 19:00,0.58
7/26/2017 22:00,0.52
7/27/2017 1:00,0.54
7/27/2017 4:00,0.74
7/27/2017 7:00,0.53
7/27/2017 10:00,0.32
7/27/2017 13:00,0.28
7/27/2017 16:00,0.31
7/27/2017 19:00,0.5
7/27/2017 22:00,0.4
7/28/2017 1:00,0.47
7/28/2017 4:00,0.43
7/28/2017 7:00,0.48
7/28/2017 10:00,0.26
7/28/2017 13:00,0.29
7/28/2017 16:00,0.29
