date_time,so2 (ug/m^3)
7/1/2017 1:00,16.73
7/1/2017 4:00,24.82
7/1/2017 7:00,21.53
7/1/2017 10:00,2.13
7/1/2017 13:00,0.81
7/1/2017 16:00,0.89
7/1/2017 19:00,2.31
7/1/2017 22:00,3.04
7/2/2017 1:00,14.17
7/2/2017 4:00,29.01
7/2/2017 7:00,18.21
7/2/2017 10:00,1.16
7/2/2017 13:00,0.55
7/2/2017 16:00,0.51
7/2/2017 19:00,2.76
7/2/2017 22:00,10.97
7/3/2017 1:00,16.52
7/3/2017 4:00,21.19
7/3/2017 7:00,7.92
7/3/2017 10:00,0.78
7/3/2017 13:00,0.55
7/3/2017 16:00,0.68
7/3/2017 19:00,2.21
7/3/2017 22:00,7.0
7/4/2017 1:00,8.67
7/4/2017 4:00,6.96
7/4/2017 7:00,6.56
7/4/2017 10:00,1.99
7/4/2017 13:00,1.11
7/4/2017 16:00,0.91
7/4/2017 19:00,2.46
7/4/2017 22:00,5.24
7/5/2017 1:00,6.85
7/5/2017 4:00,6.76
7/5/2017 7:00,6.86
7/5/2017 10:00,0.75
7/5/2017 13:00,0.72
7/5/2017 16:00,0.72
7/5/2017 19:00,1.71
7/5/2017 22:00,3.55
7/6/2017 1:00,5.76
7/6/2017 4:00,10.98
7/6/2017 7:00,14.98
7/6/2017 10:00,1.08
7/6/2017 13:00,0.63
7/6/2017 16:00,0.72
7/6/2017 19:00,3.12
7/6/2017 22:00,9.73
7/7/2017 1:00,14.18
7/7/2017 4:00,13.47
7/7/2017 7:00,9.03
7/7/2017 10:00,2.4
7/7/2017 13:00,1.41
7/7/2017 16:00,2.12
7/7/2017 19:00,3.91
7/7/2017 22:00,7.39
7/8/2017 1:00,10.07
7/8/2017 4:00,8.73
7/8/2017 7:00,14.3
7/8/2017 10:00,1.13
7/8/2017 13:00,0.87
7/8/2017 16:00,0.94
7/8/2017 19:00,3.4
7/8/2017 22:00,6.42
7/9/2017 1:00,13.19
7/9/2017 4:00,21.67
7/9/2017 7:00,15.42
7/9/2017 10:00,3.06
7/9/2017 13:00,1.12
7/9/2017 16:00,1.04
7/9/2017 19:00,2.97
7/9/2017 22:00,2.27
7/10/2017 1:00,9.19
7/10/2017 4:00,16.36
7/10/2017 7:00,14.51
7/10/2017 10:00,1.69
7/10/2017 13:00,0.82
7/10/2017 16:00,1.1
7/10/2017 19:00,3.78
7/10/2017 22:00,6.04
7/11/2017 1:00,8.2
7/11/2017 4:00,14.83
7/11/2017 7:00,14.89
7/11/2017 10:00,4.65
7/11/2017 13:00,0.76
7/11/2017 16:00,0.87
7/11/2017 19:00,2.75
7/11/2017 22:00,12.06
7/12/2017 1:00,14.77
7/12/2017 4:00,11.63
7/12/2017 7:00,13.2
7/12/2017 10:00,3.76
7/12/2017 13:00,0.93
7/12/2017 16:00,0.88
7/12/2017 19:00,3.37
7/12/2017 22:00,9.83
7/13/2017 1:00,7.85
7/13/2017 4:00,6.44
7/13/2017 7:00,9.47
7/13/2017 10:00,1.94
7/13/2017 13:00,0.65
7/13/2017 16:00,0.77
7/13/2017 19:00,2.48
7/13/2017 22:00,11.43
7/14/2017 1:00,21.71
7/14/2017 4:00,19.94
7/14/2017 7:00,21.22
7/14/2017 10:00,2.41
7/14/2017 13:00,0.75
7/14/2017 16:00,0.85
7/14/2017 19:00,3.0
7/14/2017 22:00,2.13
7/15/2017 1:00,3.67
7/15/2017 4:00,7.67
7/15/2017 7:00,11.05
7/15/2017 10:00,1.66
7/15/2017 13:00,0.79
7/15/2017 16:00,1.16
7/15/2017 19:00,2.63
7/15/2017 22:00,3.69
7/16/2017 1:00,4.68
7/16/2017 4:00,5.32
7/16/2017 7:00,8.3
7/16/2017 10:00,0.87
7/16/2017 13:00,0.6
7/16/2017 16:00,0.77
7/16/2017 19:00,2.55
7/16/2017 22:00,6.23
7/17/2017 1:00,7.33
7/17/2017 4:00,9.47
7/17/2017 7:00,18.14
7/17/2017 10:00,3.89
7/17/2017 13:00,0.79
7/17/2017 16:00,0.88
7/17/2017 19:00,4.77
7/17/2017 22:00,10.84
7/18/2017 1:00,9.92
7/18/2017 4:00,21.99
7/18/2017 7:00,11.3
7/18/2017 10:00,3.85
7/18/2017 13:00,1.84
7/18/2017 16:00,1.03
7/18/2017 19:00,2.72
7/18/2017 22:00,5.55
7/19/2017 1:00,13.71
7/19/2017 4:00,13.61
7/19/2017 7:00,19.17
7/19/2017 10:00,3.56
7/19/2017 13:00,0.89
7/19/2017 16:00,0.94
7/19/2017 19:00,2.3
7/19/2017 22:00,4.48
7/20/2017 1:00,14.66
7/20/2017 4:00,7.38
7/20/2017 7:00,7.27
7/20/2017 10:00,1.36
7/20/2017 13:00,0.84
7/20/2017 16:00,0.73
7/20/2017 19:00,2.3
7/20/2017 22:00,3.48
7/21/2017 1:00,3.5
7/21/2017 4:00,4.66
7/21/2017 7:00,9.05
7/21/2017 10:00,2.52
7/21/2017 13:00,1.03
7/21/2017 16:00,0.9
7/21/2017 19:00,2.58
7/21/2017 22:00,7.9
7/22/2017 1:00,15.97
7/22/2017 4:00,18.39
7/22/2017 7:00,20.4
7/22/2017 10:00,1.15
7/22/2017 13:00,0.73
7/22/2017 16:00,0.92
7/22/2017 19:00,2.77
7/22/2017 22:00,3.94
7/23/2017 1:00,5.94
7/23/2017 4:00,7.64
7/23/2017 7:00,8.83
7/23/2017 10:00,1.07
7/23/2017 13:00,0.74
7/23/2017 16:00,0.74
7/23/2017 19:00,2.2
7/23/2017 22:00,3.8
7/24/2017 1:00,2.56
7/24/2017 4:00,4.09
7/24/2017 7:00,5.57
7/24/2017 10:00,1.22
7/24/2017 13:00,0.77
7/24/2017 16:00,0.73
7/24/2017 19:00,1.83
7/24/2017 22:00,2.34
7/25/2017 1:00,2.98
7/25/2017 4:00,3.83
7/25/2017 7:00,5.1
7/25/2017 10:00,1.19
7/25/2017 13:00,0.71
7/25/2017 16:00,0.78
7/25/2017 19:00,2.62
7/25/2017 22:00,4.23
7/26/2017 1:00,3.63
7/26/2017 4:00,4.13
