date_time,so2 (ug/m^3)
7/1/2017 1:00,2.43
7/1/2017 4:00,2.29
7/1/2017 7:00,2.33
7/1/2017 10:00,0.52
7/1/2017 13:00,0.36
7/1/2017 16:00,0.42
7/1/2017 19:00,0.79
7/1/2017 22:00,1.66
7/2/2017 1:00,1.94
7/2/2017 4:00,2.16
7/2/2017 7:00,2.07
7/2/2017 10:00,0.53
7/2/2017 13:00,0.74
7/2/2017 16:00,0.59
7/2/2017 19:00,0.65
7/2/2017 22:00,1.46
7/3/2017 1:00,1.95
7/3/2017 4:00,2.18
7/3/2017 7:00,2.25
7/3/2017 10:00,0.61
7/3/2017 13:00,0.41
7/3/2017 16:00,0.37
7/3/2017 19:00,0.76
7/3/2017 22:00,1.23
7/4/2017 1:00,1.66
7/4/2017 4:00,1.61
7/4/2017 7:00,1.56
7/4/2017 10:00,0.6
7/4/2017 13:00,0.4
7/4/2017 16:00,0.45
7/4/2017 19:00,1.1
7/4/2017 22:00,1.77
7/5/2017 1:00,1.87
7/5/2017 4:00,1.69
7/5/2017 7:00,1.57
7/5/2017 10:00,0.8
7/5/2017 13:00,0.33
7/5/2017 16:00,0.43
7/5/2017 19:00,0.94
7/5/2017 22:00,1.31
7/6/2017 1:00,1.99
7/6/2017 4:00,2.27
7/6/2017 7:00,2.24
7/6/2017 10:00,0.63
7/6/2017 13:00,0.35
7/6/2017 16:00,0.43
7/6/2017 19:00,1.15
7/6/2017 22:00,1.69
7/7/2017 1:00,1.97
7/7/2017 4:00,1.98
7/7/2017 7:00,1.7
7/7/2017 10:00,0.61
7/7/2017 13:00,0.37
7/7/2017 16:00,0.4
7/7/2017 19:00,1.03
7/7/2017 22:00,1.71
7/8/2017 1:00,1.42
7/8/2017 4:00,1.78
7/8/2017 7:00,1.76
7/8/2017 10:00,0.79
7/8/2017 13:00,0.45
7/8/2017 16:00,0.58
7/8/2017 19:00,1.07
7/8/2017 22:00,1.75
7/9/2017 1:00,1.95
7/9/2017 4:00,1.76
7/9/2017 7:00,1.74
7/9/2017 10:00,0.64
7/9/2017 13:00,0.42
7/9/2017 16:00,0.43
7/9/2017 19:00,0.86
7/9/2017 22:00,1.35
7/10/2017 1:00,1.9
7/10/2017 4:00,1.82
7/10/2017 7:00,1.67
7/10/2017 10:00,0.47
7/10/2017 13:00,0.31
7/10/2017 16:00,0.42
7/10/2017 19:00,0.98
7/10/2017 22:00,1.49
7/11/2017 1:00,1.88
7/11/2017 4:00,1.89
7/11/2017 7:00,1.56
7/11/2017 10:00,0.53
7/11/2017 13:00,0.35
7/11/2017 16:00,0.35
7/11/2017 19:00,0.89
7/11/2017 22:00,1.82
7/12/2017 1:00,1.93
7/12/2017 4:00,1.57
7/12/2017 7:00,1.73
7/12/2017 10:00,0.87
7/12/2017 13:00,0.39
7/12/2017 16:00,0.61
7/12/2017 19:00,1.08
7/12/2017 22:00,1.97
7/13/2017 1:00,2.31
7/13/2017 4:00,2.23
7/13/2017 7:00,1.78
7/13/2017 10:00,0.51
7/13/2017 13:00,0.46
7/13/2017 16:00,0.6
7/13/2017 19:00,1.32
7/13/2017 22:00,2.01
7/14/2017 1:00,1.75
7/14/2017 4:00,1.59
7/14/2017 7:00,1.75
7/14/2017 10:00,0.88
7/14/2017 13:00,0.32
7/14/2017 16:00,0.33
7/14/2017 19:00,0.73
7/14/2017 22:00,1.31
7/15/2017 1:00,1.81
7/15/2017 4:00,1.6
7/15/2017 7:00,1.87
7/15/2017 10:00,1.0
7/15/2017 13:00,0.29
7/15/2017 16:00,0.32
7/15/2017 19:00,0.83
7/15/2017 22:00,1.37
7/16/2017 1:00,1.58
7/16/2017 4:00,1.27
7/16/2017 7:00,1.06
7/16/2017 10:00,0.56
7/16/2017 13:00,0.35
7/16/2017 16:00,0.43
7/16/2017 19:00,0.93
7/16/2017 22:00,1.35
7/17/2017 1:00,1.59
7/17/2017 4:00,1.65
7/17/2017 7:00,1.55
7/17/2017 10:00,0.82
7/17/2017 13:00,0.43
7/17/2017 16:00,0.42
7/17/2017 19:00,1.05
7/17/2017 22:00,1.62
7/18/2017 1:00,1.88
7/18/2017 4:00,1.77
7/18/2017 7:00,1.65
7/18/2017 10:00,0.58
7/18/2017 13:00,0.38
7/18/2017 16:00,0.43
7/18/2017 19:00,1.06
7/18/2017 22:00,1.96
7/19/2017 1:00,2.42
7/19/2017 4:00,2.52
7/19/2017 7:00,2.43
7/19/2017 10:00,1.04
7/19/2017 13:00,0.36
7/19/2017 16:00,0.38
7/19/2017 19:00,0.8
7/19/2017 22:00,1.18
7/20/2017 1:00,1.73
7/20/2017 4:00,1.98
7/20/2017 7:00,2.1
7/20/2017 10:00,0.49
7/20/2017 13:00,0.24
7/20/2017 16:00,0.3
7/20/2017 19:00,0.74
7/20/2017 22:00,1.39
7/21/2017 1:00,1.93
7/21/2017 4:00,2.28
7/21/2017 7:00,2.26
7/21/2017 10:00,0.75
7/21/2017 13:00,0.32
7/21/2017 16:00,0.38
7/21/2017 19:00,0.73
7/21/2017 22:00,1.09
7/22/2017 1:00,1.81
7/22/2017 4:00,2.13
7/22/2017 7:00,1.87
7/22/2017 10:00,0.49
